,name,platform,score,total_reviews,main_story,main_extra,avg_playthrough,normalized_score,normalized_reviews,normalized_time,playability_score
422,Need For Speed: Hot Pursuit Remastered,pc,74,12,0.0,0.0,0.0,0.7628865979381443,0.09917355371900827,0.0,41.12
154,Star Wars The Force Unleashed,wii,71,18,0.0,0.0,0.0,0.7319587628865979,0.1487603305785124,0.0,41.06
227,Cogs,pc,73,13,5.23,7.93,6.58,0.7525773195876289,0.10743801652892562,0.0074662006910207026,41.0
456,Secret Files: Tunguska,pc,66,26,9.09,11.52,10.305,0.6804123711340206,0.21487603305785125,0.011692887252426799,40.7
343,Ring of Pain,pc,74,9,8.34,17.24,12.79,0.7628865979381443,0.0743801652892562,0.014512569428291,40.67
335,Slain: Back From Hell,pc,74,10,0.0,0.0,0.0,0.7628865979381443,0.08264462809917356,0.0,40.62
249,Iron Brigade,pc,75,7,6.35,13.69,10.02,0.7731958762886598,0.05785123966942149,0.01136950317994338,40.62
222,Atom Zombie Smasher,pc,75,7,4.11,9.32,6.715,0.7731958762886598,0.05785123966942149,0.007619382620091796,40.55
437,Blue Fire,pc,70,15,10.88,13.16,12.02,0.7216494845360825,0.12396694214876033,0.013638865092107728,40.07
520,Syndicate,pc,69,16,12.05,12.22,12.135000000000002,0.711340206185567,0.1322314049586777,0.013769353402057179,39.81
492,Astrologaster,pc,74,6,5.91,6.14,6.025,0.7628865979381443,0.049586776859504134,0.0068364527603950965,39.77
384,Saints Row: The Third Remastered,pc,70,13,13.42,23.5,18.46,0.7216494845360825,0.10743801652892562,0.020946210449276928,39.72
418,Morkredd,pc,74,6,2.72,3.21,2.965,0.7628865979381443,0.049586776859504134,0.003364329034783645,39.7
417,Spellcaster University,pc,73,7,8.39,17.97,13.18,0.7525773195876289,0.05785123966942149,0.014955095001163049,39.66
287,The Elder Scrolls V: Skyrim Special Edition,pc,74,6,0.0,0.0,0.0,0.7628865979381443,0.049586776859504134,0.0,39.63
304,Hellpoint,pc,64,25,15.73,20.59,18.16,0.6597938144329897,0.2066115702479339,0.020605806162452275,39.6
469,Recompile,pc,68,17,4.22,5.74,4.98,0.7010309278350515,0.14049586776859505,0.005650711161289225,39.38
348,Tannenberg,pc,69,15,7.6,0.0,3.8,0.711340206185567,0.12396694214876033,0.00431178763311226,39.37
503,Double Kick Heroes,pc,73,6,3.1,4.88,3.99,0.7525773195876289,0.049586776859504134,0.0045273770147678735,39.21
377,Aven Colony,pc,65,20,25.35,33.12,29.235,0.6701030927835051,0.1652892561983471,0.033172397751062344,39.13
383,Automachef,pc,71,6,25.93,42.28,34.105000000000004,0.7319587628865979,0.049586776859504134,0.03869829400718254,38.86
455,Metamorphosis,pc,69,13,2.67,3.33,3.0,0.711340206185567,0.10743801652892562,0.003404042868246521,38.86
505,As Far As The Eye,pc,70,10,4.22,8.1,6.16,0.7216494845360825,0.08264462809917356,0.00698963468946619,38.7
453,A Normal Lost Phone,pc,71,8,1.36,1.71,1.5350000000000001,0.7319587628865979,0.06611570247933884,0.0017417352675861367,38.62
479,Rain World,pc,66,16,24.72,29.61,27.165,0.6804123711340206,0.1322314049586777,0.030823608171972248,38.6
438,Secret Files 3,pc,67,14,5.03,5.91,5.470000000000001,0.6907216494845361,0.11570247933884298,0.0062067048297694905,38.13
451,Another Lost Phone: Laura's Story,pc,71,6,1.36,1.61,1.485,0.7319587628865979,0.049586776859504134,0.001685001219782028,38.12
498,Out of Line,pc,69,10,2.81,3.04,2.925,0.711340206185567,0.08264462809917356,0.0033189417965403577,38.11
424,Puzzle Agent 2,pc,63,22,3.17,3.65,3.41,0.6494845360824743,0.18181818181818182,0.003869262060240212,38.01
504,Ashwalkers: A Survival Journey,pc,61,26,0.0,0.0,0.0,0.6288659793814433,0.21487603305785125,0.0,37.89
346,Lawn Mowing Simulator,pc,69,7,3.4,24.5,13.95,0.711340206185567,0.05785123966942149,0.015828799337346322,37.62
484,The Crow's Eye,pc,65,16,4.42,6.5,5.46,0.6701030927835051,0.1322314049586777,0.006195358020208668,37.6
277,Shank,pc,67,11,3.1,4.56,3.83,0.6907216494845361,0.09090909090909091,0.004345828061794725,37.35
394,The Spectrum Retreat,pc,68,8,4.96,4.99,4.975,0.7010309278350515,0.06611570247933884,0.005645037756508813,37.15
399,NBA 2K21,pc,67,6,22.67,51.22,36.945,0.6907216494845361,0.049586776859504134,0.041920787922455904,36.86
447,Secret Files 2: Puritas Cordis,pc,64,14,9.1,10.69,9.895,0.6597938144329897,0.11570247933884298,0.011227668060433108,36.69
342,Submerged: Hidden Depths,pc,66,10,4.45,7.19,5.82,0.6804123711340206,0.08264462809917356,0.006603843164398251,36.63
89,Medal of Honor Vanguard,wii,56,29,0.0,0.0,0.0,0.5773195876288659,0.2396694214876033,0.0,36.06
482,Metal Unit,pc,64,6,6.68,7.25,6.965,0.6597938144329897,0.049586776859504134,0.00790305285911234,34.64
411,Youtubers Life,pc,63,5,11.64,22.4,17.02,0.6494845360824743,0.04132231404958678,0.019312269872518596,34.1
512,Fahrenheit: Indigo Prophecy Remastered,pc,61,9,0.0,0.0,0.0,0.6288659793814433,0.0743801652892562,0.0,33.67
145,Rio,ds,59,5,0.0,0.0,0.0,0.6082474226804123,0.04132231404958678,0.0,31.65
450,Lost Horizon 2,pc,58,5,5.6,6.0,5.8,0.5979381443298969,0.04132231404958678,0.006581149545276607,31.27
340,Spirit of the North,pc,58,5,5.3,6.01,5.654999999999999,0.5979381443298969,0.04132231404958678,0.006416620806644692,31.26
493,Calico,pc,57,5,2.87,6.02,4.445,0.5876288659793815,0.04132231404958678,0.005043656849785263,30.72
283,Steel Storm: Burning Retribution,pc,55,4,5.41,7.25,6.33,0.5670103092783505,0.03305785123966942,0.007182530452000159,29.49
2,Animal Crossing Amiibo Festival,wii-u,46,20,0.0,0.0,0.0,0.4742268041237113,0.1652892561983471,0.0,28.67
174,Supremacy MMA,playstation-3,47,17,0.0,0.0,0.0,0.4845360824742268,0.14049586776859505,0.0,28.44
349,Shop Titans,pc,42,5,0.0,0.0,0.0,0.4329896907216495,0.04132231404958678,0.0,22.89
146,Shrek Swamp Kart Speedway,game-boy-advance,27,5,0.0,0.0,0.0,0.27835051546391754,0.04132231404958678,0.0,15.16
296,Yu-Gi-Oh! Duel Links,pc,0,0,120.97,344.94,232.95499999999998,0.0,0.0,0.26432960212412276,5.29
111,Persona 5,playstation-3,0,0,97.48,113.15,105.315,0.0,0.0,0.11949892488979412,2.39
94,Minecraft,3ds,0,0,69.66,132.24,100.95,0.0,0.0,0.11454604251649543,2.29
353,Car Mechanic Simulator 2018,pc,0,2,29.49,104.62,67.055,0.0,0.01652892561983471,0.07608603151009016,2.02
293,Valheim,pc,0,0,70.99,94.72,82.85499999999999,0.0,0.0,0.09401399061618848,1.88
381,PC Building Simulator,pc,0,3,25.21,47.88,36.545,0.0,0.024793388429752067,0.04146691554002304,1.57
303,The Elder Scrolls II: Daggerfall,pc,0,0,32.6,88.74,60.67,0.0,0.0,0.06884109360550547,1.38
510,Abandon Ship,pc,0,3,20.25,30.57,25.41,0.0,0.024793388429752067,0.028832243094048034,1.32
48,Final Fantasy X,playstation-3,0,0,45.85,69.84,57.845,0.0,0.0,0.06563561990457334,1.31
201,Tokyo Mirage Sessions #FE,wii-u,0,0,49.03,63.11,56.07,0.0,0.0,0.06362156120752747,1.27
478,8Doors: Arum's Afterlife Adventure,pc,0,3,9.54,11.41,10.475,0.0,0.024793388429752067,0.01188578301496077,0.98
362,Rise of the Tomb Raider: 20 Year Celebration,pc,0,2,14.86,23.45,19.155,0.0,0.01652892561983471,0.021734813713754037,0.93
162,Super Mario 3D All-Stars,switch,0,0,34.78,47.58,41.18,0.0,0.0,0.04672616177146391,0.93
402,Deponia: The Complete Journey,pc,0,1,26.47,31.68,29.075,0.0,0.008264462809917356,0.032990848798089195,0.91
487,Death Squared,pc,0,3,6.0,7.52,6.76,0.0,0.024793388429752067,0.007670443263115494,0.9
442,Tools Up!,pc,0,3,5.04,7.38,6.21,0.0,0.024793388429752067,0.0070463687372702985,0.88
49,Final Fantasy X-2,playstation-3,0,0,30.26,46.75,38.505,0.0,0.0,0.0436908902139441,0.87
428,Liberated,pc,0,3,3.3,3.96,3.63,0.0,0.024793388429752067,0.00411889187057829,0.83
470,Beasts of Maravilla Island,pc,0,3,2.02,2.7,2.3600000000000003,0.0,0.024793388429752067,0.0026778470563539303,0.8
426,Secret Files: Sam Peters,pc,0,3,2.34,2.72,2.5300000000000002,0.0,0.024793388429752067,0.0028707428188878997,0.8
270,Psychonauts in the Rhombus of Ruin,pc,0,3,2.07,2.31,2.19,0.0,0.024793388429752067,0.00248495129381996,0.79
289,THOTH,pc,0,3,1.53,2.63,2.08,0.0,0.024793388429752067,0.0023601363886509214,0.79
302,The Elder Scrolls: Arena,pc,0,0,22.91,45.33,34.12,0.0,0.0,0.038715314221523765,0.77
391,Train Sim World 2,pc,0,3,0.0,0.0,0.0,0.0,0.024793388429752067,0.0,0.74
344,DOOM 64,pc,0,3,0.0,0.0,0.0,0.0,0.024793388429752067,0.0,0.74
404,Tyranny - Gold Edition,pc,0,0,23.97,38.91,31.439999999999998,0.0,0.0,0.035674369259223536,0.71
72,Kingdom Hearts 358/2 Days,ds,0,0,26.71,33.77,30.240000000000002,0.0,0.0,0.034312752111924937,0.69
228,Costume Quest,pc,0,2,5.53,6.39,5.96,0.0,0.01652892561983471,0.006762698498249755,0.63
486,10 Second Ninja X,pc,0,2,2.45,7.06,4.755,0.0,0.01652892561983471,0.005395407946170736,0.6
272,Receiver,pc,0,2,3.52,4.84,4.18,0.0,0.01652892561983471,0.0047429663964234856,0.59
239,Gang Beasts,pc,0,2,2.25,5.17,3.71,0.0,0.01652892561983471,0.004209666347064865,0.58
241,GNOG,pc,0,2,1.82,1.87,1.8450000000000002,0.0,0.01652892561983471,0.0020934863639716105,0.54
251,KIDS,pc,0,2,0.37,0.41,0.39,0.0,0.01652892561983471,0.00044252557287204774,0.5
361,Shadow of the Tomb Raider: Definitive Edition,pc,0,0,13.2,28.42,20.810000000000002,0.0,0.0,0.023612710696070037,0.47
262,Mountain,pc,0,1,5.65,13.23,9.440000000000001,0.0,0.008264462809917356,0.010711388225415721,0.46
301,OpenTTD,pc,0,0,11.68,26.38,19.03,0.0,0.0,0.021592978594243768,0.43
45,Final Fantasy,NES,0,0,16.75,21.51,19.130000000000003,0.0,0.0,0.021706446689851985,0.43
385,Yooka-Laylee,pc,0,0,15.25,20.54,17.895,0.0,0.0,0.020305115709090497,0.41
4,Assassin's Creed,pc,0,0,14.98,19.98,17.48,0.0,0.0,0.019834223112316397,0.4
446,Unmemory,pc,0,1,3.86,4.81,4.335,0.0,0.008264462809917356,0.004918841944616223,0.35
488,Bang Bang Racing,pc,0,1,2.95,3.32,3.135,0.0,0.008264462809917356,0.003557224797317614,0.32
483,Manual Samuel,pc,0,1,2.07,3.14,2.605,0.0,0.008264462809917356,0.0029558438905940626,0.31
400,The First Tree,pc,0,1,1.84,1.98,1.9100000000000001,0.0,0.008264462809917356,0.0021672406261169517,0.29
165,Super Mario All-Stars,wii,0,0,10.31,14.6,12.455,0.0,0.0,0.014132451308003472,0.28
292,Uplink,pc,0,0,8.24,16.02,12.129999999999999,0.0,0.0,0.013763679997276766,0.28
465,Castle on the Coast,pc,0,1,2.58,0.0,1.29,0.0,0.008264462809917356,0.001463738433346004,0.28
55,Gran Turismo Concept 2002 Tokyo-Geneva,playstation-2,0,0,4.0,19.58,11.79,0.0,0.0,0.013377888472208827,0.27
197,The Simpsons Hit & Run,gamecube,0,0,10.02,13.49,11.754999999999999,0.0,0.0,0.01333817463874595,0.27
142,Resident Evil Zero,gamecube,0,0,11.51,11.95,11.73,0.0,0.0,0.013309807614843898,0.27
339,The Captain,pc,0,0,8.15,15.22,11.685,0.0,0.0,0.013258746971820199,0.27
226,Brütal Legend,pc,0,0,9.16,13.74,11.45,0.0,0.0,0.012992096947140888,0.26
204,Uncharted 2: Among Thieves,playstation-4,0,0,10.53,12.32,11.425,0.0,0.0,0.012963729923238835,0.26
491,Across the Grooves,pc,0,1,0.0,0.0,0.0,0.0,0.008264462809917356,0.0,0.25
216,Zelda II: The Adventure of Link,NES,0,0,10.84,10.94,10.89,0.0,0.0,0.012356675611734872,0.25
61,Horizon Zero Dawn Complete Edition,playstation-4,0,1,0.0,0.0,0.0,0.0,0.008264462809917356,0.0,0.25
58,Grim Fandango,switch,0,0,10.78,11.36,11.07,0.0,0.0,0.012560918183829662,0.25
223,BIT.TRIP RUNNER,pc,0,1,0.0,0.0,0.0,0.0,0.008264462809917356,0.0,0.25
60,Horizon Zero Dawn Complete Edition,playstation-4,0,1,0.0,0.0,0.0,0.0,0.008264462809917356,0.0,0.25
474,Fishing North Atlantic,pc,0,1,0.0,0.0,0.0,0.0,0.008264462809917356,0.0,0.25
263,Multiwinia,pc,0,0,2.67,17.5,10.085,0.0,0.0,0.011443257442088722,0.23
206,Uncharted 3: Drake's Deception,playstation-4,0,0,9.1,10.66,9.879999999999999,0.0,0.0,0.011210647846091874,0.22
15,Castlevania: Symphony of the Night,playstation-3,0,0,8.38,11.36,9.870000000000001,0.0,0.0,0.011199301036531056,0.22
454,Indiana Jones and the Fate of Atlantis,pc,0,0,8.1,9.76,8.93,0.0,0.0,0.01013270093781381,0.2
315,Syndicate Wars,pc,0,0,17.36,0.0,8.68,0.0,0.0,0.009849030698793266,0.2
210,Uncharted: Drake's Fortune,playstation-4,0,0,8.11,9.66,8.885,0.0,0.0,0.010081640294790114,0.2
